league.year,league.name,phase.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1955,Mississippi-Ohio Valley League,regular,Dubuque,0,M90018,Hutchinson,Ira,,
1955,Mississippi-Ohio Valley League,regular,Mattoon,0,M90026,Storie,Burl,,
1955,Mississippi-Ohio Valley League,regular,Clinton,0,M90039,Clark,Robert,,
1955,Mississippi-Ohio Valley League,regular,Kokomo,1,M90047,Dixon,Walter,,
1955,Mississippi-Ohio Valley League,regular,Kokomo,2,M90052,Milaskey,Jack,19550825,
1955,Mississippi-Ohio Valley League,regular,Lafayette,0,M90060,Wylie,Mark,,
1955,Mississippi-Ohio Valley League,regular,Decatur,0,M90071,Unser,Albert,,
1955,Mississippi-Ohio Valley League,regular,Paris,0,M90083,Rigazio,Richard,,
1955,Mississippi-Ohio Valley League,regular,Hannibal,1,M90094,Granneman,James,,
1955,Mississippi-Ohio Valley League,regular,Hannibal,2,M90107,Shinn,Alan,19550527,
1955,Piedmont League,regular,Newport News,0,M90018,Scherger,George,,
1955,Piedmont League,regular,Lancaster,0,M90026,Biasatti,Henry,,
1955,Piedmont League,regular,York,0,M90039,Staller,George,,
1955,Piedmont League,regular,Portsmouth,0,M90047,Guettler,Kenneth,,
1955,Piedmont League,regular,Lynchburg,0,M90052,Kissell,George,,
1955,Piedmont League,regular,Hagerstown,0,M90060,Welaj,John,,
1955,Piedmont League,regular,Sunbury,1,M90071,Stallcup,T. Virgil,,
1955,Piedmont League,regular,Sunbury,2,M90083,Dorman,Fred (Dutch),19550725,
1955,Piedmont League,regular,Norfolk,1,M90094,Evans,Alfred,,
1955,Piedmont League,regular,Norfolk,2,M90107,Brown,Alton,19550525,
1955,Piedmont League,regular,Norfolk,3,M90110,Herring,William,19550527,
