league.year,league.name,entry.name,phase.name,division.name,S_FIRST,S_LAST,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_IP,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
1918,International League,Toronto,regular,,,,,88,39,,0.693,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Binghamton,regular,,,,,85,38,,0.691,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Baltimore,regular,,,,,74,53,,0.583,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Newark,regular,,,,,64,63,,0.504,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Rochester,regular,,,,,60,61,,0.496,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Buffalo,regular,,,,,53,68,,0.438,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Syracuse/Hamilton,regular,,,,,38,76,,0.333,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Jersey City,regular,,,,,30,94,,0.242,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Binghamton,regular,,,,,,,,,,,125,,4030,562,,1072,1360,,156,51,10,,405,,371,,,178,,167,,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Baltimore,regular,,,,,,,,,,,129,,4214,482,,1117,1433,,148,60,16,,352,,451,,,138,,161,,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Rochester,regular,,,,,,,,,,,122,,3855,466,,1027,1283,,130,51,8,,262,,469,,,118,,168,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Toronto,regular,,,,,,,,,,,129,,4161,585,,1076,1351,,144,40,17,,466,,437,,,213,,213,,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Newark,regular,,,,,,,,,,,127,,4019,474,,985,1178,,110,34,5,,335,,354,,,134,,176,,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Buffalo,regular,,,,,,,,,,,123,,3988,470,,953,1160,,109,40,6,,292,,448,,,136,,126,,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Syracuse/Hamilton,regular,,,,,,,,,,,115,,3653,375,,854,1043,,110,30,6,,347,,507,,,141,,130,,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Jersey City,regular,,,,,,,,,,,126,,4020,411,,948,1174,,111,53,3,,339,,501,,,106,,130,,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,International League,Binghamton,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,3318,1516,212,76,0,15,,,0.958
1918,International League,Baltimore,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,3400,1579,233,98,0,10,,,0.955
1918,International League,Toronto,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,3473,1682,249,81,1,16,,,0.954
1918,International League,Buffalo,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,3218,1614,240,83,0,4,,,0.953
1918,International League,Jersey City,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,3302,1466,238,75,1,16,,,0.952
1918,International League,Rochester,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,3152,1457,242,96,0,13,,,0.95
1918,International League,Newark,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,3230,1495,271,83,0,13,,,0.946
1918,International League,Syracuse/Hamilton,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,3053,1478,352,74,0,18,,,0.928
