league.year,league.name,entry.name,phase.name,division.name,S_FIRST,S_LAST,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_LOB,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_SV,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB,F_CS,F_XI,F_LOB,F_PCT
1918,American Association,Kansas City,regular,,,,,44,30,,0.595,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Columbus,regular,,,,,41,34,,0.547,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Indianapolis,regular,,,,,41,34,,0.547,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Louisville,regular,,,,,43,36,,0.544,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Milwaukee,regular,,,,,38,35,,0.521,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,St. Paul,regular,,,,,39,38,,0.506,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Minneapolis,regular,,,,,34,42,,0.447,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Toledo,regular,,,,,23,54,,0.299,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Kansas City,regular,,,,,,,,,,,74,,2375,299,,634,810,,93,22,13,,256,,181,,,102,,72,,,0.267,,,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Louisville,regular,,,,,,,,,,,77,,2558,314,,660,878,,83,54,9,,203,,194,,,110,,79,,,0.258,,,,,,,,,,,,,251,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Milwaukee,regular,,,,,,,,,,,73,,2414,314,,604,815,,92,37,15,,270,,241,,,103,,137,,,0.25,,,,,,,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Minneapolis,regular,,,,,,,,,,,77,,2538,267,,626,819,,93,32,12,,185,,295,,,72,,60,,,0.247,,,,,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Indianapolis,regular,,,,,,,,,,,78,,2537,307,,621,770,,78,25,7,,284,,247,,,120,,85,,,0.245,,,,,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Columbus,regular,,,,,,,,,,,75,,2363,270,,578,714,,62,25,8,,225,,231,,,96,,60,,,0.245,,,,,,,,,,,,,257,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,St. Paul,regular,,,,,,,,,,,78,,2555,304,,617,810,,82,30,17,,246,,256,,,100,,84,,,0.241,,,,,,,,,,,,,306,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Toledo,regular,,,,,,,,,,,78,,2394,205,,530,637,,46,20,7,,212,,214,,,83,,50,,,0.221,,,,,,,,,,,,,345,,,,,,,,,,,,,,,,,,,,,,,,,
1918,American Association,Louisville,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,2044,951,121,61,,5,,,,,0.961
1918,American Association,Kansas City,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,1958,931,125,63,,8,,,,,0.958
1918,American Association,Milwaukee,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,1966,1028,130,56,,1,,,,,0.958
1918,American Association,Toledo,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,1980,1059,144,76,,11,,,,,0.955
1918,American Association,Indianapolis,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,2077,1062,151,65,,4,,,,,0.954
